Body,aspect_terms
This app does not interface enough of the information from the desktop version. Reports are raw numbers and can’t pull up any supporting information.  P&L is worthless. The desktop version seems to miss the point of accounting software. Ie making all your information easy to input then easy to analyze in reports. This does neither.   QBPro etc was far easier to Navigate without the slick graphics and colors. Aaaaaargh!,App
Taking pictures with my phone of receipts is not as easy as it should be...I use a IPhone and it’s all over the place,
"I have been using QuickBooks for over 20 years. I wouldn’t of been able to start and run my business without it. Thank you, thank you, thank you!",
Moving to a different invoicing product.,Invoicing
Love QuickBooks still getting used to everything it offers,
It’s now $60 a month! I am sure they will raise the price again soon.,
Absolutely horrible experience. We had QB before so now we have two accounts and they are interfering with one another. Sat on hold forever and finally got instructions to cancel the oldest acct. went through all the instructions to where I’m suppose to select Cancel or Cancel Trial and that option isn’t even a choice.,"Experience, Customer Service, Subscription"
"Love it!! Only thing is that I cant connect my bank account, I use “counting up” if this could be corrected that would be great",
"Difficult to set up invoice template and negotiate site, customer service poor, and when you try to write a review and send it off if the nickname is taken you have to write it all out again. As usual well advertised on Tv but fails to deliver.","Customer Service, Quality"
"Why have intuit decided NOT to support bill entering on this app?!?

It great i can import my paper receipts using the camera, but whats the point if i can't enter as a bill only an expense?!?","Customer Service, App, Expenses"
